,survived,pclass,sex,age,sibsp,parch,fare,adult_male,alone
0,0,3,1,22.0,1,0,7.25,1,1
1,1,1,0,38.0,1,0,71.2833,0,0
2,1,3,0,26.0,0,0,7.925,0,0
3,1,1,0,35.0,1,0,53.1,0,0
4,0,3,1,35.0,0,0,8.05,1,1
6,0,1,1,54.0,0,0,51.8625,1,1
7,0,3,1,2.0,3,1,21.075,1,1
8,1,3,0,27.0,0,2,11.1333,0,0
9,1,2,0,14.0,1,0,30.0708,0,0
10,1,3,0,4.0,1,1,16.7,0,0
11,1,1,0,58.0,0,0,26.55,0,0
12,0,3,1,20.0,0,0,8.05,1,1
13,0,3,1,39.0,1,5,31.275,1,1
14,0,3,0,14.0,0,0,7.8542,0,0
15,1,2,0,55.0,0,0,16.0,0,0
16,0,3,1,2.0,4,1,29.125,1,1
18,0,3,0,31.0,1,0,18.0,0,0
20,0,2,1,35.0,0,0,26.0,1,1
21,1,2,1,34.0,0,0,13.0,1,1
22,1,3,0,15.0,0,0,8.0292,0,0
23,1,1,1,28.0,0,0,35.5,1,1
24,0,3,0,8.0,3,1,21.075,0,0
25,1,3,0,38.0,1,5,31.3875,0,0
27,0,1,1,19.0,3,2,263.0,1,1
30,0,1,1,40.0,0,0,27.7208,1,1
33,0,2,1,66.0,0,0,10.5,1,1
34,0,1,1,28.0,1,0,82.1708,1,1
35,0,1,1,42.0,1,0,52.0,1,1
37,0,3,1,21.0,0,0,8.05,1,1
38,0,3,0,18.0,2,0,18.0,0,0
39,1,3,0,14.0,1,0,11.2417,0,0
40,0,3,0,40.0,1,0,9.475,0,0
41,0,2,0,27.0,1,0,21.0,0,0
43,1,2,0,3.0,1,2,41.5792,0,0
44,1,3,0,19.0,0,0,7.8792,0,0
49,0,3,0,18.0,1,0,17.8,0,0
50,0,3,1,7.0,4,1,39.6875,1,1
51,0,3,1,21.0,0,0,7.8,1,1
52,1,1,0,49.0,1,0,76.7292,0,0
53,1,2,0,29.0,1,0,26.0,0,0
54,0,1,1,65.0,0,1,61.9792,1,1
56,1,2,0,21.0,0,0,10.5,0,0
